/home/saurabh/Downloads/audio2/Audio/88.wav,Paris attacks suspect
/home/saurabh/Downloads/audio2/Audio/26.wav,Nokia 7 Plus Specifications
/home/saurabh/Downloads/audio2/Audio/98.wav,Pakistani journalist covers his own wedding
/home/saurabh/Downloads/audio2/Audio/63.wav,Electric vehicle scene still sketchy
/home/saurabh/Downloads/audio2/Audio/74.wav,million stake sale in Tata Technologies
/home/saurabh/Downloads/audio2/Audio/65.wav,French delegation
/home/saurabh/Downloads/audio2/Audio/79.wav,a solution to a problem that doesn't exist
/home/saurabh/Downloads/audio2/Audio/81.wav,judges facing intimidation
/home/saurabh/Downloads/audio2/Audio/52.wav,ill kids loved puts life into perspective
/home/saurabh/Downloads/audio2/Audio/92.wav,Turkish President Recep
/home/saurabh/Downloads/audio2/Audio/49.wav,Cashews can improve good cholesterol levels
/home/saurabh/Downloads/audio2/Audio/35.wav,Samsung Galaxy S9
/home/saurabh/Downloads/audio2/Audio/19.wav,A concise look at Darwin's Theory of Evolution and its criticism
/home/saurabh/Downloads/audio2/Audio/17.wav,Meditation has limited role in making you a better person
/home/saurabh/Downloads/audio2/Audio/76.wav,Singtel to invest in Bharti Telecom
/home/saurabh/Downloads/audio2/Audio/42.wav,Are you over 50?
/home/saurabh/Downloads/audio2/Audio/70.wav,diesel at all-time high in Delhi
/home/saurabh/Downloads/audio2/Audio/50.wav,China's success in cloning monkeys was a victory for hard work
/home/saurabh/Downloads/audio2/Audio/91.wav,Chinese Incursions Into India Rose
/home/saurabh/Downloads/audio2/Audio/51.wav,Cancer Treatment Could Increase Heart Disease Risk
/home/saurabh/Downloads/audio2/Audio/2.wav,Rover to spend 14 days on moon's surface
/home/saurabh/Downloads/audio2/Audio/84.wav,49% of Iranians against compulsory veil
/home/saurabh/Downloads/audio2/Audio/77.wav,Khadi commission seeks compensation from Fabindia
/home/saurabh/Downloads/audio2/Audio/4.wav,SpaceX Falcon Heavy Poised For Debut Test Launch
/home/saurabh/Downloads/audio2/Audio/90.wav,Indian-Americans hold rally outside White House
/home/saurabh/Downloads/audio2/Audio/43.wav,The 'ripple effect' could have a huge impact
/home/saurabh/Downloads/audio2/Audio/36.wav,India success propels Chinese smartphones
/home/saurabh/Downloads/audio2/Audio/24.wav,2018 iPhone Models to Exclusively Use Intel Modems
/home/saurabh/Downloads/audio2/Audio/22.wav,TVS Motor launches India's first connected scooter
/home/saurabh/Downloads/audio2/Audio/68.wav,M&M introduces mHAWK engine
/home/saurabh/Downloads/audio2/Audio/47.wav,'Extinct' medicinal plant
/home/saurabh/Downloads/audio2/Audio/85.wav,6 tortured arguments Republicans are making
/home/saurabh/Downloads/audio2/Audio/46.wav,These 4 lifestyle modifications can help you FIGHT cancer!
/home/saurabh/Downloads/audio2/Audio/29.wav,Hello Airtel postpaid users
/home/saurabh/Downloads/audio2/Audio/56.wav,Computer Vision Syndrome
/home/saurabh/Downloads/audio2/Audio/60.wav,Cholera alert in State
/home/saurabh/Downloads/audio2/Audio/23.wav,Apple raises iPhone prices in India
